Address,ContractName,Balance,TxCount
0x52a4b11b23587467b54a49ec0ccb47436526f714,DoacaoEvento,0.0002 ,3
0x922aC473A3cC241fD3a0049Ed14536452D58D73c,ValidToken,0 ,41
0xca6e1c4bce9f720e15c72d81d280734086fd7bd4,ArinToken,0 ,17
0x4b2b6ee9271cca9f12b81f94a70dd41cbad50d01,Betting,8.133333206327296 ,54
0x57409c375540bd4a29d64431e1e0b74ba7e12b6a,EthGraffiti,0.000000000000001449 ,22
0xfe17a501c30cc366a032acc2724af3535d35185c,WRLCrowdsale,0 ,15
0xe6ccecc6543e4ab12ed5cc3612fbe92dd7fbaed1,Crowdsale,0 ,8
0x18367f4eca68f7f374f61784ba38bcec3fee77f8,YOLOCASH,0 ,38
0x2668afe75c5b0b726c2b4388658edae365eda4e2,B2ANDcoin,0 ,4
0xa1df09f1f3e465d8cd1c8bb004f19a77e41398f3,DTToken,0 ,3
0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907,PopulStayToken,0 ,3
0xb53263571781bd91bb1bf166e748dd53cefac097,AuctusBonusDistribution,0 ,14
0xe79cf9b7d14b87b84e8339485458f17fce3adf72,KLSToken,0 ,6
0x2d3853305870aaa043267bbae0edafd7baba78df,MIOTToken,0 ,14
0x122264f00aff8edf5d86bac0eb0acd1155e7cdd6,ERC20Token,0 ,4
0x0b5828d786f397c73554c5b091aa9ea108fffc51,TilcoinStorage,0 ,6
0x838cf4a80ee1bb6a7a7664849587323f15591cee,nbagame,0.02 ,3
0xe8ef703c0de875d5c6c882c71ff03d18598290b3,EligmaCrowdsaleContract,237.555039784813827802 ,225
0xD903286CE14d55Ce3eEe7a39bCF683C21Ed5356e,TheGTokenTest,0 ,3
0xf75e3e8d275146157b8e0e540542adceeccbb349,RootsSale,0 ,6
0x81faa7321658f9c86eafe107896546ddea98643b,RootsSaleToken,0 ,3
0x357a21cf65e11d20277fc3665ceb3739c9bbaa0b,Community,0 ,5
0x06426743ab506a2d542e2ef08a680d948917dbe6,CryptoWuxiaVoting,0.1768 ,128
0xf5b3b365fa319342e89a3da71ba393e12d9f63c3,ERC20Token,0 ,7
0x3637fcd710b99d2b643af653d60b762d6c310a8b,CryptoAdsToken,0 ,4
0x491c9a23db85623eed455a8efdd6aba9b911c5df,HeroNodeToken,0 ,3
0xc6725ae749677f21e4d8f85f41cfb6de49b9db29,BancorConverter,0 ,970
0x1af79fb7772ebafebcfd5cc79e67281a814ccb1d,ISBToken,0 ,3
0x43990734e03cb75b1f48f95857da21e3963c2326,TokenFactory,0 ,7
0x05112a2d23b817c6471d4f7981b26f1cecec25d3,ETHERCFeeModifiers,0 ,3
0x0cf55facee33ed2827d78ad2d113efe0aa80a92b,BITTOToken,0 ,7
0xaeaabbbfa5c9457b7a3d6faa57ca850cc0e9f198,SaleTracker,0 ,6
0xe98945936dd2f04294afd798ed7036a8e9ba6acc,Map,0.69 ,112
0x02b8b5d2c2f05c074850c5bdffdb711edbcd8704,CodeMailStampSale,0 ,3
0xd6fe2734b9b7beb22bb62301d55c287b14c651d5,EPTest,0.00095 ,3
0xb72fc3f647c9bb4fda13ea2a1ba9b779eb786770,EligmaMintingContract,0 ,1356
0xc7c03b8a3fc5719066e185ea616e87b88eba44a3,EligmaTokenContract,0 ,4
0xeea22ba8819ed2b1c2e85f44543fbe11f54f9617,ufoodoToken,0 ,3
0xe10292e9ea7500a4f664d4911ae80151c69a08a0,MastermindAlliancePublishingGroupToken,0 ,3
0xb1afeedd16dd44c4ac69bd486290f6d735f30684,TriumHolding,0 ,3
0xe9059d82507c26c3071c8a09f6f867c696dfd3cd,ShitToken,0.000446691740263946 ,12
0xca8d88ee68d019d4c94f4bad9745381f93215972,TheAbyssDAICO,0 ,15
0xf87ce8485c63b0a845180c566c034ea57ecd01a3,RECFCO,0 ,4
0x9e5de9854dff0be43d48d93aa56cc3a065069396,ArtworkCore,0 ,5
0xd7aebfaaa23621eb81227b8bf382dd719992b5b1,Rosoboronexport_Ankara_I,0 ,4
0x8c3cd81e8987e44b8d8702ed6d5791b346d0e1e5,CryptoMemes,0.025 ,6
0x76f89506310fc271cbfacf923975a36a3b9f9300,LNC_Manager,0 ,65
0xFf41067FE843f190482D998a9976C7B19cD7c8b7,RareCoinAuction,0.001 ,3
0x4f411afeea9ebb9bd6a821adc105078e7bd5e688,YOLOCASH,0 ,36
0x95652225e66cfef01d387d8865d800b3688b1a89,COREXCoin,0 ,3
0x98b7ce59aaaab1e38eb3befdd8916254006935bf,DOJC,0 ,5
0x607a5c47978e2eb6d59c6c6f51bc0bf411f4b85a,BancorGasPriceLimit,0 ,3
0x4dbb33a4885c70bb82cc643679f1d22f8aef90bf,TheAbyssDAICO,0 ,28
0x4c129783B42833220ad57d48548f871189009d3f,HoQuBurner,0 ,3
0xd2159bdcf38e22b684d698d0b7ce01a36fdb4af1,zpzToken,0 ,8
0x7021967e5d0761772c6fb25304f2d013865aba7c,EpigenCareCrowdsale,0 ,6
0xbf45f4280cfbe7c2d2515a7d984b8c71c15e82b7,EnclavesDEXProxy,0.009741346900130972 ,37
0xa4ea687a2a7f29cf2dc66b39c68e4411c0d00c49,IvyKoinContract,0 ,1776
0x5dfbc6d9f2fd6a3d0d57998db56a8424eac755f1,MLCToken,0 ,4
0x1f58a138c976ceface828fd9e0b82295e85e7c81,DigixVirtualReserve,0 ,9
0xc51ed7b954C27c13ECbA024dCa50C1Beb6E3F2B4,MintedTokenCappedCrowdsaleExt,0 ,3
0x6413028de8301cb15bC5cF1eDc9862dF91c7a38a,CrowdsaleTokenExt,0 ,9
